County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Arkansas County, Arkansas",2009,19385,9385,10000,1182,1066,1493,1512,1008,989,1047,911,1531,1454,1531,1454,1047,795,678,620,562,485,
"Ashley County, Arkansas",2009,22337,10835,11502,1363,1452,1653,1832,1095,1206,1474,1385,1631,1608,1519,1296,1519,960,849,625,290,581,
"Baxter County, Arkansas",2009,41468,19934,21534,1949,2032,2239,2156,1783,1866,1700,2073,2239,2820,2903,3235,3359,3317,2571,2073,1451,1659,
"Benton County, Arkansas",2009,209931,104129,105802,16585,16794,14905,13646,13016,15955,15535,15325,15325,15115,12176,10706,9657,7558,6088,4828,3569,2939,
"Boone County, Arkansas",2009,36341,17621,18720,2289,2217,2544,2289,2071,2217,1962,2253,2435,2580,2399,2399,2253,1781,1708,1018,945,1054,
"Bradley County, Arkansas",2009,11967,6058,5909,814,790,742,610,562,1041,586,850,850,886,826,778,646,515,443,503,323,227,
"Calhoun County, Arkansas",2009,5411,2646,2765,260,260,438,427,363,168,271,384,379,503,335,368,330,243,227,216,124,114,
"Carroll County, Arkansas",2009,27321,13670,13651,1749,1721,1557,1721,1612,1503,1530,1667,1639,1912,2186,1912,2131,1448,1066,1038,437,492,
"Chicot County, Arkansas",2009,12279,6051,6228,798,712,933,786,823,700,503,688,982,933,896,663,810,589,491,319,332,307,
"Clark County, Arkansas",2009,23601,11288,12313,1392,1227,1440,2573,3918,826,1086,1109,1510,1369,1345,1298,1109,873,802,755,378,543,
"Clay County, Arkansas",2009,16045,7704,8341,899,947,963,1059,770,834,834,995,1107,1171,1091,1123,1091,947,642,722,546,305,
"Cleburne County, Arkansas",2009,25292,12293,12999,1265,1290,1593,1492,1239,1189,1214,1290,1796,1821,1770,1720,2023,1947,1214,1012,683,733,
"Cleveland County, Arkansas",2009,8640,4231,4409,570,544,674,588,484,518,423,475,683,665,605,501,613,389,389,225,190,121,
"Columbia County, Arkansas",2009,24292,11642,12650,1506,1433,1628,2089,1919,1676,1312,1385,1530,1700,1579,1409,1239,923,1020,777,534,607,
"Conway County, Arkansas",2009,20619,10065,10554,1340,1258,1485,1464,1278,1113,1113,1443,1258,1608,1464,1423,1113,887,845,722,454,371,
"Craighead County, Arkansas",2009,91474,44153,47321,6495,6129,6037,6495,6952,9239,6861,5671,6037,6037,5488,5214,4025,3202,2561,1921,1738,1464,
"Crawford County, Arkansas",2009,58740,29012,29728,4229,4640,4112,4112,3524,3642,3994,3936,4053,4464,3994,3642,3054,2291,1880,1645,940,529,
