County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Wells County, North Dakota",2012,4251,2173,2078,251,238,276,221,166,187,187,187,247,281,344,285,357,238,217,162,221,187,
"Haakon County, South Dakota",2012,1852,948,904,96,119,98,117,19,104,161,54,117,117,224,120,119,124,91,61,52,59,
"Hamlin County, South Dakota",2012,5875,2987,2888,541,541,411,458,259,311,317,288,341,382,388,317,317,259,212,153,147,241,
"Hand County, South Dakota",2012,3394,1711,1683,173,170,241,197,102,122,153,126,210,255,288,193,302,153,200,156,214,139,
"Sierra County, California",2012,3366,1698,1668,310,306,293,242,128,162,202,178,246,222,229,269,114,135,104,71,108,50,
"Harding County, South Dakota",2012,1367,702,665,57,62,113,144,92,53,63,85,97,113,131,105,67,30,60,36,25,34,
"Hughes County, South Dakota",2012,17064,8360,8704,1177,1058,1092,1126,785,1092,973,1058,1297,1297,1433,1229,1109,768,427,410,324,392,
"Hutchinson County, South Dakota",2012,7283,3587,3696,393,459,495,452,277,306,320,342,415,503,539,568,357,430,299,371,335,422,
"Hyde County, South Dakota",2012,1437,710,727,91,114,70,118,60,85,73,57,65,108,109,73,83,91,55,85,40,57,
"Jackson County, South Dakota",2012,3067,1548,1519,215,267,294,245,233,181,138,190,215,212,202,126,156,101,104,55,49,83,
"Jerauld County, South Dakota",2012,2047,1016,1031,108,115,90,131,74,78,106,61,131,137,141,209,123,106,127,108,78,125,
"Jones County, South Dakota",2012,1084,507,577,59,111,106,62,61,59,37,48,51,67,122,51,38,38,46,42,59,30,
"Kingsbury County, South Dakota",2012,5159,2604,2555,294,284,310,253,227,273,304,242,237,423,444,485,268,212,268,263,139,232,
"Lake County, South Dakota",2012,11364,5729,5635,636,591,750,943,943,625,557,511,614,773,955,898,602,648,307,330,364,307,
"Lawrence County, South Dakota",2012,24063,11974,12089,1275,1083,1420,1925,2190,1396,1227,1275,1227,1612,1877,1901,1564,1251,746,722,650,722,
"Lincoln County, South Dakota",2012,45055,22590,22465,4325,3875,3334,2613,2208,3785,3875,3649,2974,2929,2884,2793,1802,1352,766,586,721,631,
"Lyman County, South Dakota",2012,3752,1988,1764,293,319,300,315,203,214,188,154,233,278,270,233,188,199,116,98,83,64,
"Gallatin County, Illinois",2012,5592,2809,2783,414,397,380,352,196,268,336,246,369,408,442,391,324,324,173,185,196,185,
"McPherson County, South Dakota",2012,2485,1298,1187,112,174,117,142,94,55,75,144,142,181,186,166,184,134,154,152,127,147,
"Marshall County, South Dakota",2012,4631,2464,2167,357,278,343,296,241,255,204,208,227,292,375,306,361,199,232,199,79,171,
"Meade County, South Dakota",2012,25456,13154,12302,1833,1756,1680,1756,1960,1807,1655,1426,1375,1884,1909,1960,1349,993,713,585,382,433,
"Mellette County, South Dakota",2012,2057,1020,1037,208,218,189,183,88,101,99,68,109,119,134,136,146,80,47,80,21,33,
"Miner County, South Dakota",2012,2365,1184,1181,151,123,166,137,57,111,130,97,137,170,206,180,168,128,78,99,116,111,
"Minnehaha County, South Dakota",2012,170342,85048,85294,12946,11583,11243,11243,12605,14138,12094,10732,11413,12435,12094,10732,8347,5451,4259,3236,3066,3066,
"Moody County, South Dakota",2012,6474,3269,3205,479,447,453,453,317,350,356,356,440,447,524,537,324,298,233,142,136,188,
"Pennington County, South Dakota",2012,101240,50518,50722,7391,6783,6783,6479,7087,7492,6479,5669,5973,7087,7593,7188,5467,3645,3442,2430,2126,1924,
"Perkins County, South Dakota",2012,2890,1494,1396,179,165,179,139,66,162,139,142,107,194,246,249,240,194,110,142,101,133,
"Potter County, South Dakota",2012,2327,1113,1214,107,100,147,137,77,93,102,77,163,149,207,165,221,121,144,79,116,121,
"Caldwell Parish, Louisiana",2012,10158,5076,5082,813,589,955,772,528,477,498,488,589,670,691,802,528,549,356,396,213,244,
"Sanborn County, South Dakota",2012,2357,1225,1132,134,139,146,153,141,104,113,106,113,181,217,174,158,106,115,71,99,85,
"Buffalo County, Wisconsin",2012,13683,6542,7141,1601,1396,1327,1560,1341,944,725,876,670,739,670,616,424,328,178,137,55,82,
"Spink County, South Dakota",2012,6483,3284,3199,382,389,493,460,305,344,285,266,382,454,525,538,376,272,311,240,220,253,
"Stanley County, South Dakota",2012,2940,1488,1452,194,153,168,173,123,162,179,176,191,223,156,268,276,194,115,85,65,41,
"Sully County, South Dakota",2012,1382,762,620,72,82,93,88,55,64,70,12,98,153,111,133,66,87,41,72,54,30,
"Stevens County, Minnesota",2012,9711,4824,4887,1214,1117,1049,913,825,719,495,476,505,486,534,408,427,146,194,107,58,58,
"Tripp County, South Dakota",2012,5608,2793,2815,348,320,348,415,151,393,365,336,224,437,404,432,303,280,219,264,112,264,
"Platte County, Wyoming",2012,8344,4228,4116,501,584,534,559,317,392,467,501,434,626,676,634,509,401,325,342,250,275,
"Union County, South Dakota",2012,14377,7229,7148,920,1107,963,949,575,791,791,1006,906,1064,1093,1078,992,690,403,374,388,288,
"Lincoln County, Colorado",2012,5443,2705,2738,278,425,256,343,234,283,267,261,294,365,381,354,414,278,327,196,229,261,
"Fannin County, Georgia",2012,22434,11713,10721,1324,1256,1413,1368,1368,1458,1368,1301,1503,1750,1884,1458,1346,808,942,673,561,628,
"Ziebach County, South Dakota",2012,2796,1342,1454,324,324,257,249,185,173,182,204,109,204,185,123,73,84,39,28,31,28,
"Anderson County, Tennessee",2012,75039,36408,38631,4052,4502,4878,4727,4202,3902,4127,4802,5028,5328,5778,5778,4878,3677,2927,2176,1876,2401,
"Bedford County, Tennessee",2012,45060,22425,22635,3380,3380,3334,3109,2794,2794,2839,3064,3109,3425,2794,2568,2478,2073,1397,946,721,766,
"Benton County, Tennessee",2012,16420,8115,8305,854,936,887,1018,739,788,788,870,1133,1281,1232,1199,1379,1133,837,608,345,394,
"Bledsoe County, Tennessee",2012,12898,7070,5828,606,619,903,877,800,568,761,890,1006,1032,993,825,1019,684,529,335,271,168,
"Blount County, Tennessee",2012,123086,59659,63427,6770,6770,8739,8001,6893,6770,7016,7631,8985,9478,9231,8616,8370,6154,5293,3693,2462,2092,
"Bradley County, Tennessee",2012,99229,48280,50949,5855,6847,6450,6847,7244,6053,6351,6450,7144,7045,6748,6152,5855,4664,3771,2778,1687,1290,
"Campbell County, Tennessee",2012,40629,19855,20774,2275,2194,2763,2560,2194,2194,2356,2722,2885,2885,2844,2600,3088,2478,1747,1300,853,691,
"Cannon County, Tennessee",2012,13797,6791,7006,800,924,773,911,786,773,773,1090,855,1076,1062,966,786,690,566,455,290,221,
"Carroll County, Tennessee",2012,28486,13784,14702,1709,1624,1766,2051,1766,1538,1481,1510,2079,2051,1937,1994,1880,1681,1139,940,769,598,
"Carter County, Tennessee",2012,57531,28225,29306,3107,3164,3279,3509,3970,3222,3107,3624,4027,4315,4200,4142,3855,3049,2819,1841,1438,863,
"Cheatham County, Tennessee",2012,39103,19683,19420,2424,2815,2659,2776,2033,2112,2268,2737,3206,3402,3246,2815,2229,1486,1330,704,430,469,
"Chester County, Tennessee",2012,17043,8253,8790,971,1091,1142,1687,1398,852,1040,920,1142,1074,1193,1142,835,988,392,494,375,324,
"Claiborne County, Tennessee",2012,32025,15725,16300,1633,1922,1889,2082,2146,1825,1793,1986,2370,2210,2338,2530,2146,1761,1345,993,608,448,
"Clay County, Tennessee",2012,7842,3899,3943,486,392,463,478,471,306,369,400,541,612,541,463,659,580,408,267,180,220,
"Green County, Wisconsin",2012,35631,17310,18321,1995,2067,2209,2102,1817,1924,2067,2423,2280,2744,2779,2530,2708,2031,1603,1318,534,499,
"Coffee County, Tennessee",2012,52853,25631,27222,3435,3700,3541,3541,2907,3118,3224,3647,3118,3858,3858,3594,3013,2431,2167,1638,1216,899,
"Crockett County, Tennessee",2012,14567,7055,7512,932,1063,918,976,830,874,903,728,1093,1107,991,787,961,772,510,437,320,364,
"Cumberland County, Tennessee",2012,56144,27121,29023,2807,2807,3032,3032,2639,2583,2526,2976,3200,3649,3762,3986,4492,4604,4099,2639,1797,1460,
"Davidson County, Tennessee",2012,629113,304566,324547,44667,39634,33343,39005,53475,62282,52845,44667,41521,42151,42151,38376,29568,19503,15728,12582,8808,8808,
"Pulaski County, Georgia",2012,11732,5699,6033,657,704,669,704,657,598,634,516,856,774,833,845,821,856,493,375,458,258,
"DeKalb County, Tennessee",2012,18770,9505,9265,1145,1239,1239,1107,1089,1014,1295,1201,1239,1389,1333,1276,1276,694,1032,526,469,244,
"Dickson County, Tennessee",2012,49704,24274,25430,3231,3529,3330,3430,2833,3032,3131,3330,3579,3877,3728,3131,2933,2187,1591,1243,795,696,
"Dyer County, Tennessee",2012,38234,18559,19675,2447,2371,2829,2829,2065,2294,2294,2294,2753,2868,2715,2409,2600,1759,1376,1109,688,535,
"Fayette County, Tennessee",2012,38370,19024,19346,2494,2494,2417,2264,1803,2225,2302,2379,2417,2916,3070,2648,3108,2264,1343,1074,576,576,
"Fentress County, Tennessee",2012,17945,8825,9120,1005,1220,1166,1184,897,879,915,1166,1184,1310,1292,1310,1328,1148,790,520,377,287,
"Franklin County, Tennessee",2012,40972,19921,21051,2253,2786,2335,2909,2827,2008,2253,2172,2786,2950,2950,2991,2622,2172,1762,1475,901,819,
"Gibson County, Tennessee",2012,49594,23526,26068,3273,3273,3620,3224,2579,2728,2976,2976,3323,3620,3521,3025,3124,2281,1885,1637,1389,1041,
"Giles County, Tennessee",2012,29439,14453,14986,1678,1796,1766,2061,1766,1619,1649,1590,1884,2267,2267,1943,2149,1766,1148,913,471,677,
"Grainger County, Tennessee",2012,22613,11249,11364,1289,1266,1470,1492,1176,1131,1312,1606,1560,1696,1764,1560,1696,1334,995,565,362,384,
"Greene County, Tennessee",2012,68755,33752,35003,3644,4125,4057,4400,3850,3644,3782,4469,4607,5088,5225,4744,4950,4057,3094,2269,1581,1031,
"Grundy County, Tennessee",2012,13751,6822,6929,798,921,866,866,743,756,784,839,880,935,990,1100,798,784,715,371,289,316,
"Hamblen County, Tennessee",2012,62528,30268,32260,3814,4377,4127,3752,3627,3814,3814,4815,3877,4565,4189,4064,3689,3314,2376,1626,1563,1188,
"Hamilton County, Tennessee",2012,337023,162196,174827,20558,19884,19884,22581,23929,22581,21232,21906,21569,23592,24940,23929,20558,15166,11459,9100,7077,7077,
"Hancock County, Tennessee",2012,6759,3357,3402,385,406,399,324,419,385,392,406,412,527,534,466,547,473,284,196,61,135,
"Park County, Wyoming",2012,27193,14860,12333,1441,1468,1768,1632,1958,1958,1931,1496,2094,2121,1985,1686,1822,1305,925,653,571,381,
"Hardin County, Tennessee",2012,25987,12534,13453,1429,1429,1663,1741,1377,1299,1351,1429,1923,1793,1923,1897,1845,1793,1065,884,598,546,
"Hawkins County, Tennessee",2012,56725,27775,28950,3120,3404,3857,3460,2780,3063,3063,3630,4254,4254,4254,4141,3914,3233,2553,1588,1305,908,
"Haywood County, Tennessee",2012,18673,8776,9897,1195,1531,1158,1307,1046,1139,1102,859,1344,1400,1475,1494,990,803,654,448,448,261,
"Henderson County, Tennessee",2012,27835,13433,14402,1726,2004,1837,1726,1503,1614,1809,1865,1837,2088,2032,1893,1781,1253,1141,1002,418,306,
"Nicollet County, Minnesota",2012,32271,15666,16605,1872,1969,1936,2033,1581,1549,1775,1872,2001,2356,2356,2485,2162,1839,1807,1226,807,678,
"Hickman County, Tennessee",2012,24481,12900,11581,1273,1567,1616,1689,1371,1518,1493,1567,1934,1958,1910,1738,1444,1126,881,710,343,343,
"Atkinson County, Georgia",2012,8375,4196,4179,469,695,486,503,469,452,427,595,427,595,586,678,494,444,410,276,184,176,
"Humphreys County, Tennessee",2012,18428,8955,9473,995,1235,1235,1308,903,866,1143,1290,1069,1253,1364,1308,1290,1198,682,442,479,369,
"Jackson County, Tennessee",2012,11526,5758,5768,588,807,507,645,634,530,588,818,738,853,945,888,945,761,484,334,196,265,
"Jefferson County, Tennessee",2012,51541,25343,26198,2835,3092,3350,3762,3350,2732,2732,3453,3247,3866,3762,3350,3505,3247,2062,1546,825,722,
"McCreary County, Kentucky",2012,18199,9813,8386,874,1019,837,928,1056,1056,1256,1219,1310,1456,1310,1256,1329,1110,837,601,473,291,
"Knox County, Tennessee",2012,433207,210569,222638,25992,26859,25992,29458,37689,30324,28592,28158,29458,30758,30758,27292,25126,18628,12563,11263,7798,6931,
"Lake County, Tennessee",2012,7780,4902,2878,335,327,428,373,584,607,646,638,700,584,560,459,467,342,233,202,140,156,
"Lauderdale County, Tennessee",2012,27772,14519,13253,1861,1916,1888,1666,2027,2055,2027,1639,2194,2055,1916,1555,1555,1083,944,611,389,389,
"Lawrence County, Tennessee",2012,41779,20395,21384,2799,2883,3092,2841,2256,2298,2465,2381,3092,2966,2799,2549,2674,2089,1671,1253,961,710,
"Lewis County, Tennessee",2012,12050,6112,5938,759,880,723,795,627,603,747,663,783,807,952,916,795,711,398,506,253,121,
"Lincoln County, Tennessee",2012,33295,16201,17094,2098,2231,2064,2031,1964,1765,1831,2098,1998,2530,2664,2364,2131,1665,1532,1065,699,633,
"Gibson County, Tennessee",2012,48586,23747,24839,2478,2575,3012,2818,2284,2284,2235,3110,2964,3255,3498,3644,3984,3838,2624,1992,1263,777,
"McMinn County, Tennessee",2012,52325,25349,26976,2983,3296,3401,3610,2930,2669,2878,3558,3349,3872,3872,3401,3558,2878,2198,1727,1047,994,
"Chattooga County, Georgia",2012,26001,12772,13229,1508,1794,1690,1638,1326,1378,1404,1690,1586,1872,1872,1768,1898,1586,1040,910,442,572,
"Macon County, Tennessee",2012,22265,10934,11331,1581,1403,1648,1514,1358,1380,1225,1469,1670,1648,1469,1603,1247,1091,735,557,490,245,
"Madison County, Tennessee",2012,97976,46599,51377,6564,6466,6368,7838,7348,6270,6075,5879,6172,6858,7250,6662,5193,4213,2841,2155,1960,1764,
"Marion County, Tennessee",2012,28184,13873,14311,1494,1691,1888,1747,1606,1522,1606,1776,1860,2086,2255,2198,2001,1578,1156,705,676,395,
"Marshall County, Tennessee",2012,30585,14976,15609,1927,1896,2355,2019,1713,1743,2141,1805,2263,2355,2294,2263,1805,1315,1070,612,489,551,
"Maury County, Tennessee",2012,80965,39098,41867,5829,5506,5263,5020,4696,5425,5506,5101,5182,5991,6396,5749,4858,3401,2510,1943,1295,1376,
"Meigs County, Tennessee",2012,11696,5914,5782,573,620,866,550,667,561,655,830,830,889,924,807,971,737,491,398,175,164,
"Monroe County, Tennessee",2012,44680,22192,22488,2815,2815,2815,2770,2502,2279,2591,2860,2770,3262,3262,3262,3262,2547,2100,1340,715,670,
"Montgomery County, Tennessee",2012,173138,85063,88075,15409,12985,12639,12293,16275,16621,13505,12639,10908,11081,10215,8137,6579,4675,3463,2424,1905,1385,
"Moore County, Tennessee",2012,6349,3155,3194,279,349,502,489,311,197,387,413,394,438,483,368,540,368,305,210,165,152,
"Morgan County, Tennessee",2012,21882,12037,9845,1116,1291,1313,1291,1379,1444,1379,1729,1554,1685,1685,1422,1510,1072,788,613,394,241,
"Obion County, Tennessee",2012,31721,15367,16354,1776,2030,2189,1998,1649,1808,1745,2189,2062,2157,2443,2157,2157,1649,1396,952,603,698,
"Overton County, Tennessee",2012,22040,10890,11150,1344,1455,1411,1411,1190,1124,1300,1322,1587,1477,1565,1587,1521,1102,1168,749,353,353,
"Perry County, Tennessee",2012,7856,3948,3908,440,487,495,566,354,377,448,456,495,495,644,471,691,495,346,299,165,141,
"Pickett County, Tennessee",2012,5108,2572,2536,235,271,332,179,312,235,235,209,393,358,368,501,327,363,322,215,128,128,
"Polk County, Tennessee",2012,16756,8403,8353,871,771,1357,1056,855,788,922,1139,1173,1290,1223,1156,1240,1056,754,536,318,251,
"Putnam County, Tennessee",2012,72172,35651,36521,4402,3753,4763,5918,7722,4547,4258,4258,4402,4619,4619,4402,3897,3681,2382,2021,1371,1227,
"Rhea County, Tennessee",2012,31817,15623,16194,1973,2195,2132,2195,2068,1814,1845,1686,2259,2100,2259,2164,2164,1782,1241,891,573,477,
"Roane County, Tennessee",2012,54027,26616,27411,2701,2971,3512,3188,2647,2539,2701,3242,3566,4052,4268,4268,4268,3296,2377,1999,1243,1135,
"Robertson County, Tennessee",2012,66143,32592,33551,4630,4762,4828,4432,3572,4101,4167,4564,4961,5291,4961,4432,3506,2712,1984,1389,926,860,
"Rutherford County, Tennessee",2012,263815,130377,133438,19258,18731,19522,20050,23480,21105,20050,18995,20050,18731,16884,13191,11872,7914,5540,3957,2374,2638,
"Scott County, Tennessee",2012,22196,10915,11281,1443,1753,1354,1509,1354,1332,1465,1398,1598,1598,1532,1265,1509,1043,821,577,333,311,
"Sequatchie County, Tennessee",2012,14173,7003,7170,935,850,992,1006,666,780,794,822,1049,1020,1063,879,1035,879,609,539,113,156,
"Sevier County, Tennessee",2012,90218,44410,45808,5323,5684,5323,5864,5413,4962,4872,5954,6496,7037,6857,6496,6045,5142,3519,2616,1624,1173,
"Shelby County, Tennessee",2012,929437,443391,486046,66919,65061,69708,70637,67849,67849,63202,63202,62272,65990,65990,57625,48331,30671,22306,16730,13942,12083,
"Smith County, Tennessee",2012,19157,9459,9698,1130,1226,1437,1284,1034,1188,1073,1169,1398,1590,1513,1360,1111,996,575,498,268,326,
"Stewart County, Tennessee",2012,13262,6674,6588,743,822,968,875,690,597,703,650,1061,1061,1034,981,862,809,491,451,252,225,
"Sullivan County, Tennessee",2012,156675,75527,81148,8147,8617,9714,9401,8147,7990,8460,10497,10497,11594,12064,11124,11124,8774,7520,5640,3917,3604,
"Sumner County, Tennessee",2012,161206,78413,82793,10478,11123,11929,10962,8705,9189,10156,11123,12413,12735,11768,10478,9350,6932,5481,3385,2579,2257,
"Tipton County, Tennessee",2012,61038,29971,31067,4090,4151,5127,4822,3601,3601,3662,3967,4761,4883,4456,3967,3052,2442,1770,1160,916,549,
"Lake County, Tennessee",2012,7827,3965,3862,415,493,564,759,368,438,509,462,477,564,657,626,493,384,266,204,125,39,
"Unicoi County, Tennessee",2012,18287,8976,9311,859,823,1372,987,914,914,1006,1152,1207,1317,1426,1225,1500,1024,987,731,439,421,
"Union County, Tennessee",2012,19179,9556,9623,1208,1381,1170,1304,1132,1055,1112,1208,1323,1534,1515,1266,1285,1055,671,441,307,211,
"Van Buren County, Tennessee",2012,5552,2758,2794,278,394,261,372,266,250,322,383,294,400,444,544,378,378,244,133,128,78,
"Warren County, Tennessee",2012,39767,19734,20033,2545,2983,2585,2426,2227,2306,2585,2903,2625,2704,2903,2386,2505,1790,1670,1193,676,716,
"Washington County, Tennessee",2012,122840,59930,62910,6633,5896,8107,8230,9950,7862,7493,7862,8722,8722,8722,8722,7248,6019,4545,3317,2334,2457,
"Wayne County, Tennessee",2012,17015,9404,7611,817,851,919,1021,1089,1174,1072,1157,1412,1293,1259,1123,1106,970,596,561,306,289,
"Weakley County, Tennessee",2012,34802,17092,17710,1879,1949,1845,3028,4176,1845,1845,2019,2158,2123,2227,2436,1984,1496,1392,905,696,766,
"White County, Tennessee",2012,25863,12666,13197,1474,1448,1836,1681,1500,1397,1397,1836,1474,1914,1836,1785,1785,1448,1112,802,776,388,
"Williamson County, Tennessee",2012,184225,89709,94516,12343,15106,16764,13448,7185,7922,10317,13817,15659,16212,15106,11790,10501,6448,4237,3500,1842,2026,
"Wilson County, Tennessee",2012,114618,56275,58343,7221,8138,8367,7565,5846,5960,7106,8367,8940,9513,9055,7909,6648,5158,3668,2522,1490,1375,
"Anderson County, Texas",2012,58269,34613,23656,3147,2972,3380,3321,3671,4370,5011,4370,4662,4836,4428,3496,3030,2564,1806,1107,1049,991,
"Andrews County, Texas",2012,15006,7478,7528,1261,1276,1170,1261,900,1050,795,960,1050,1095,1035,660,840,390,480,495,150,135,
"Angelina County, Texas",2012,86550,42423,44127,6405,6318,6578,6145,5626,5453,5366,5799,5193,5885,5799,4933,5106,3895,2683,2077,1644,1558,
"Aransas County, Texas",2012,23391,11388,12003,1263,1310,1170,1474,1099,959,725,1310,1240,1661,1778,2035,1708,1708,1731,936,865,421,
"Archer County, Texas",2012,8944,4495,4449,420,546,716,698,438,349,456,492,590,778,805,742,438,474,376,322,152,152,
"Armstrong County, Texas",2012,1820,888,932,100,144,118,76,100,73,95,69,135,118,109,120,133,113,115,56,87,55,
"Atascosa County, Texas",2012,45091,22257,22834,3427,3382,3923,3427,2660,2525,2615,2615,3021,3156,3066,2751,2660,1759,1578,947,902,586,
"Austin County, Texas",2012,28372,14209,14163,1816,1929,2071,1986,1646,1333,1504,1759,1816,2014,2128,1759,2014,1447,1135,880,539,596,
"Bailey County, Texas",2012,7096,3752,3344,617,568,724,589,582,241,362,561,397,291,397,390,383,341,184,99,114,263,
"Bandera County, Texas",2012,20477,10016,10461,1003,1147,1167,1065,737,840,799,921,1372,1618,1884,1966,1802,1331,1188,737,450,450,
"Wood County, Wisconsin",2012,74023,37969,36054,4960,5996,5108,5034,3849,4219,4663,5034,5108,5848,5848,5330,4441,2665,2369,1332,1258,1110,
"Baylor County, Texas",2012,3706,1768,1938,185,74,271,311,52,156,148,152,237,248,296,263,311,237,245,159,196,163,
"Bee County, Texas",2012,32083,19410,12673,1893,2053,1732,2117,2535,2855,2663,2470,2374,2502,2182,1572,1668,1123,738,674,449,481,
"Bell County, Texas",2012,310155,153916,156239,28224,25123,21711,22021,30395,29465,23262,20470,18919,18919,17679,14267,12716,8994,6513,4962,4032,3102,
"Bexar County, Texas",2012,1719902,843432,876470,130713,128993,128993,130713,135872,134152,122113,116953,115233,116953,108354,94595,80835,56757,41278,32678,24079,24079,
"Blanco County, Texas",2012,10425,5279,5146,542,771,532,615,386,490,448,532,667,813,897,688,1115,698,469,334,188,250,
"Borden County, Texas",2012,642,326,316,64,24,78,40,11,49,16,39,49,60,22,6,44,21,37,44,34,4,
"Bosque County, Texas",2012,18114,8970,9144,978,1159,1159,1159,815,833,779,1051,978,1214,1377,1340,1359,1304,869,706,489,525,
"Bowie County, Texas",2012,92460,46794,45666,6010,5733,6657,6472,5733,6102,6195,6195,6010,6472,6657,5733,5363,3883,3144,2496,2034,1664,
"Brazoria County, Texas",2012,313813,159519,154294,24477,23850,24164,21967,17887,20712,22595,23850,23536,23536,22908,18515,14749,10670,7218,5335,3452,3766,
"Brazos County, Texas",2012,194087,98228,95859,12616,10869,10093,21738,44252,16886,12227,10093,9122,9316,8734,7181,6599,4464,3494,2911,1941,1747,
"Brewster County, Texas",2012,9175,4553,4622,514,486,560,560,853,459,459,651,450,606,642,853,541,587,349,229,248,128,
"Taliaferro County, Georgia",2012,1674,872,802,141,85,70,116,122,99,65,50,99,144,117,99,90,99,110,75,60,30,
"Brooks County, Texas",2012,7236,3610,3626,572,630,434,492,543,810,333,376,174,412,564,369,268,253,449,224,188,145,
"Brown County, Texas",2012,38018,18823,19195,2319,2547,2433,3232,2091,2129,2091,2319,2053,2509,2699,2889,2091,1939,1673,1103,874,988,
"Claiborne Parish, Louisiana",2012,17160,8493,8667,1064,1184,1081,1133,841,909,909,1012,1081,1133,1356,1321,1064,807,824,686,412,343,
"Burnet County, Texas",2012,42946,21170,21776,2448,2749,2963,2834,1976,2233,2276,2018,2920,3135,3178,3006,3092,2534,2061,1546,1117,945,
"Caldwell County, Texas",2012,38152,19218,18934,2632,2671,2785,3357,2938,2289,2365,2365,2671,2594,2671,2327,1869,1412,1183,763,687,610,
"Calhoun County, Texas",2012,21366,10737,10629,1517,1795,1303,1517,1261,1196,1218,1303,1346,1624,1453,1196,1389,876,961,662,491,278,
"Callahan County, Texas",2012,13521,6597,6924,811,865,946,906,595,635,690,838,825,1001,1014,987,892,757,649,514,325,243,
"Cameron County, Texas",2012,405819,195407,210412,36524,37741,37335,35306,27190,25567,25972,26784,24755,23538,22320,20291,17044,13392,11363,9740,6087,4870,
"Bollinger County, Missouri",2012,12389,6074,6315,867,867,1028,855,595,743,892,706,706,731,756,842,731,694,446,409,235,297,
"Carson County, Texas",2012,6215,3063,3152,348,323,622,404,261,305,392,392,311,423,559,385,447,280,255,174,168,168,
"Cass County, Texas",2012,30324,14672,15652,1728,2153,1759,2001,1486,1516,1607,1365,2153,2062,2365,2214,2032,1819,1486,1122,728,758,
"Castro County, Texas",2012,7984,4053,3931,695,735,639,575,511,487,439,543,351,583,455,543,335,263,224,327,168,112,
"Chambers County, Texas",2012,34562,17398,17164,2419,2627,3007,2661,1763,2039,2177,2523,2592,2558,2765,2419,1728,1382,726,518,276,346,
"Cherokee County, Texas",2012,50690,25869,24821,3599,3548,3802,3751,3244,2788,3041,3193,3143,3244,3396,3295,3143,2382,1774,1267,1064,1014,
"Burt County, Nebraska",2012,7047,4226,2821,247,388,543,437,507,824,543,684,395,275,578,437,204,317,240,254,63,92,
"Clay County, Texas",2012,10718,5303,5415,589,600,772,729,450,472,514,504,761,815,954,922,729,632,461,375,268,161,
"Cochran County, Texas",2012,3087,1545,1542,241,235,244,309,157,210,176,154,191,185,198,194,170,133,120,52,25,93,
"Reagan County, Texas",2012,3298,1636,1662,165,135,188,300,92,109,162,162,162,247,251,237,244,336,145,162,106,96,
"Coleman County, Texas",2012,8817,4416,4401,582,547,450,644,529,300,414,450,397,547,644,644,785,494,494,379,291,238,
"Collin County, Texas",2012,788580,387832,400748,58355,67029,63086,53623,40218,50469,59932,68606,68606,65452,53623,43372,33909,24446,14983,9463,7097,5520,
"Douglas County, South Dakota",2012,3050,1515,1535,268,275,229,140,110,125,253,250,85,125,189,149,235,204,64,131,122,98,
"Colorado County, Texas",2012,20784,10270,10514,1226,1496,1309,1268,1226,956,1081,1122,1143,1434,1559,1663,1247,1102,1060,624,603,665,
"Comal County, Texas",2012,108985,53528,55457,6212,6648,8174,7302,5231,5558,5449,6103,7847,8501,8937,8719,7520,5558,4468,3161,1853,1962,
"Comanche County, Texas",2012,13875,6799,7076,902,944,874,916,749,569,652,735,833,944,957,860,1013,944,694,597,444,250,
"Concho County, Texas",2012,4073,2768,1305,167,167,183,126,106,224,538,411,538,265,281,318,171,208,167,86,57,65,
"Cooke County, Texas",2012,38427,19083,19344,2690,2805,2498,2844,2459,2113,2075,2498,1883,2575,2728,2459,2651,1806,1614,1307,807,576,
"Coryell County, Texas",2012,75728,37248,38480,6285,6437,4998,5680,7194,7421,6058,6134,5225,4771,4089,3181,2575,1893,1666,1136,606,454,
"Cottle County, Texas",2012,1600,732,868,93,88,90,93,59,62,72,77,42,134,98,141,126,93,102,91,102,38,
"Crane County, Texas",2012,4359,2188,2171,309,379,301,418,148,253,253,183,436,371,283,240,222,153,153,78,96,78,
"Crockett County, Texas",2012,3669,1876,1793,308,305,180,231,125,224,294,257,242,202,194,334,227,198,150,40,81,81,
"Crosby County, Texas",2012,6100,2984,3116,506,433,525,439,305,329,354,342,299,372,421,421,323,317,256,165,159,146,
"Faulk County, South Dakota",2012,2386,1085,1301,155,200,117,296,131,169,57,117,191,160,181,198,167,105,41,45,21,31,
"Dallam County, Texas",2012,6734,3509,3225,626,667,478,653,411,370,485,519,263,606,330,471,310,162,168,81,40,94,
"Dallas County, Texas",2012,2379214,1177560,1201654,192716,183199,173683,168924,171303,197475,187958,176062,168924,164166,154649,123719,102306,68997,47584,38067,28551,26171,
"Dawson County, Texas",2012,13761,8113,5648,963,757,950,1101,1032,1321,1060,853,757,867,784,743,564,537,482,317,385,261,
"Deaf Smith County, Texas",2012,19275,9484,9791,1870,1831,1523,1542,1291,1330,1272,1157,1118,1099,1137,1022,867,675,482,501,270,270,
"Delta County, Texas",2012,5240,2580,2660,320,283,403,283,362,252,225,330,262,372,377,341,377,278,325,210,94,141,
